page_views,session_duration,bounce_rate,traffic_source,time_on_page,previous_visits,conversion_rate
5,11.051381236591851,0.230651936613825,Organic,3.890460070474997,3,1.0
4,3.429315699032408,0.3910013338541704,Social,8.478174486998954,0,1.0
4,1.621052045863385,0.3979861064942929,Organic,9.636169627400935,2,1.0
5,3.6292789551861424,0.180457684705222,Organic,2.071924676446509,3,1.0
5,4.235843279057931,0.2915408735093031,Paid,1.9606538296835625,5,1.0
3,4.541867820189699,0.4207400490026312,Social,3.438711547796116,2,1.0
5,1.9495580162309407,0.0349781570158815,Social,2.1192714722548773,1,1.0
4,1.6857397554121445,0.2523427595625629,Paid,3.4780157014833533,5,1.0
6,0.0332680331834028,0.120702770574107,Organic,5.285519080243383,1,1.0
7,7.833741754811087,0.2127268859236291,Paid,4.060115222739396,5,1.0
2,2.773784434424699,0.4857678223385693,Direct,2.9736527872816234,3,1.0
5,0.6812812938933654,0.4538905515767142,Referral,1.4990085570331235,0,1.0
5,7.562350901457057,0.2635519765790136,Social,9.68859191827762,0,1.0
6,7.392909562806381,0.2633359443463259,Paid,4.981015475004269,2,1.0
4,13.58023186909955,0.3205880939741078,Paid,5.802188906041352,3,1.0
6,6.215767159872134,0.2966410058170743,Paid,10.028903177808292,2,1.0
6,18.336679603402363,0.3376945510103158,Referral,2.984756677500051,0,1.0
1,0.8418659136590263,0.2493163814079028,Social,8.303624479819767,1,1.0
7,5.540223444247188,0.2566845470224227,Paid,8.79349224549781,3,1.0
2,5.19529648769634,0.1729777360004424,Paid,2.88998002366816,2,1.0
11,0.7877602686116874,0.2516407259960402,Organic,11.69293806671197,5,1.0
4,0.3108778925904152,0.6443099889585625,Organic,4.164912574168854,4,1.0
3,11.650381526779784,0.2873295684888015,Direct,6.025224138779933,1,1.0
8,1.0530353932538,0.1835897156595087,Organic,3.727506649888684,2,1.0
3,6.141313177985501,0.0931458395300509,Social,5.083885619406432,2,1.0
3,0.0124070846501974,0.1188282623941044,Referral,1.3362649572248342,3,1.0
5,0.063746928355616,0.0560941217204222,Social,7.053034390259116,1,1.0
8,1.881355422317819,0.0132641641178454,Direct,2.1077428505750926,2,1.0
3,0.8182412064917589,0.1580981551151219,Referral,15.022219699523305,3,1.0
2,3.5120133708249206,0.1350331065052273,Social,1.5528284464131656,0,0.9630796688606292
5,2.501122170816019,0.1237309497639832,Organic,3.296032105806264,2,1.0
3,0.2419575224050296,0.4444082062720181,Referral,2.638993031698373,2,0.8685932750242634
8,0.5324616499450573,0.2509032190407618,Social,0.9660238146126964,2,1.0
10,1.4733105190261189,0.2134857990452205,Organic,9.004402386978137,1,1.0
3,0.6159258699612696,0.0755362219785417,Referral,1.9512684578896329,1,0.9722766323111524
2,4.713860244535957,0.6819301199136395,Social,3.8695259450719535,4,1.0
5,1.6139237092345338,0.3684717274880268,Social,1.687480629380767,1,0.8928560062894427
7,0.2942672727913847,0.1483101754810614,Organic,7.171731070045035,2,1.0
6,1.9869398210752247,0.2303267171713325,Referral,2.9924661629200124,0,1.0
6,0.2856965460413616,0.4804925449137873,Organic,4.219468464008543,1,1.0
2,0.4141239741595808,0.2664108739926462,Referral,3.2797725492389875,1,0.9840040614336184
4,0.8217707955761175,0.1254543622118361,Paid,4.612913657593009,1,1.0
9,5.888235000079522,0.2932490957301747,Paid,8.652438902021206,0,1.0
7,7.755342687286447,0.4608732858210607,Paid,3.300934783726686,1,1.0
11,5.250546842673495,0.2885054510603321,Organic,5.2768128128400615,2,1.0
8,1.2197446716971667,0.6132410977968061,Organic,3.0619349856020834,0,1.0
3,0.9542029865321496,0.4013297362846464,Organic,1.4256441294342004,1,0.9624936422244482
2,2.38989963442255,0.1894808144101669,Referral,4.237897870312852,2,1.0
3,3.838818315655759,0.189265462107479,Social,1.593548073244933,2,1.0
4,15.049713300643354,0.0305251444806434,Organic,2.8738706829314733,1,1.0
5,0.4232073450418146,0.8449393803434533,Organic,0.7278104461411538,4,0.7492036585051882
5,0.1516449233206013,0.1892291636317873,Paid,3.970197239543308,2,1.0
4,3.5560016694394703,0.1605296507171907,Referral,3.15454998708788,4,1.0
3,5.3554084587506505,0.38612473548671,Organic,3.8340733205967767,1,1.0
8,5.619210148332473,0.3589295820700379,Organic,3.9109380779702,2,1.0
2,3.403933092165628,0.04820166890094,Organic,4.879187493991548,4,1.0
1,9.238372528003191,0.5263555174915215,Organic,5.415281971069926,2,1.0
4,2.146207592864058,0.1592057388481888,Organic,14.33851630786508,5,1.0
5,7.353770371452756,0.2228967038497635,Organic,9.840270639683602,2,1.0
4,10.308497468065536,0.6463903300210974,Referral,5.3168998790137945,1,1.0
3,5.6350410547428265,0.05417940231829,Referral,2.769737314803667,1,1.0
4,1.1121415028208963,0.2937539594143235,Organic,2.8142589453247195,1,1.0
8,0.6552728058899355,0.2682410176642265,Referral,0.3706030514512945,2,0.9073492919062902
2,2.3830162947800466,0.0831142767294545,Paid,1.586549520701836,1,0.6252939908196553
2,1.810000328651607,0.15809285358717,Direct,3.079790781764523,2,1.0
2,6.305266175252669,0.2490188500275188,Organic,4.219020147523022,4,1.0
7,0.3161871190548802,0.2342165415543504,Referral,18.23996375799351,2,1.0
6,0.8941673264414414,0.2200510159535976,Referral,4.770245175706212,5,1.0
7,4.18054846103158,0.1036292297839558,Organic,5.464398172543695,3,1.0
6,0.2994167353798396,0.496233396048682,Direct,1.380698486793157,4,1.0
7,1.1603617541895956,0.5398582919283599,Paid,2.25388062686357,1,1.0
6,1.4689316184688963,0.1151879431335723,Referral,3.096119050330377,1,1.0
4,2.923299626646029,0.171382316277028,Organic,0.9899936276823876,2,1.0
2,0.5163984409013744,0.1901883878897562,Organic,4.6816217034678,1,1.0
3,5.911319979457081,0.3238853886802373,Paid,1.962131629101919,3,1.0
4,1.7801348783852746,0.2735038876920478,Organic,1.2233165297261226,2,1.0
